PHX,ID - 1,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,Free Throw Rt,Free Throw %
,1,Jeff,Teague,0.46,0.34,0.75,0.36,0.05,0.2,0.2,0.75
,2,Andrew,Wiggins,0.45,0.34,0.72,0.11,0.07,0.24,0.2,0.75
,3,Jarrett,Culver,0.46,0.35,0.46,0.13,0.15,0.19,0.2,0.75
,4,Robert,Covington,0.51,0.38,0.36,0.06,0.1,0.17,0.2,0.75
,5,Karl-Anthony,Towns,0.57,0.41,0.73,0.16,0.2,0.38,0.2,0.75
,6,Shabazz,Napier,0.45,0.35,0.49,0.21,0.06,0.23,0.2,0.75
,7,Josh,Okogie,0.47,0.3,0.58,0.07,0.07,0.17,0.2,0.75
,8,Jake,Layman,0.62,0.33,0.56,0.06,0.09,0.16,0.2,0.75
,9,Jordan,Bell,0.56,0,1,0.14,0.14,0.14,0.2,0.75
,10,Gorgui,Dieng,0.54,0.33,0.85,0.1,0.16,0.18,0.2,0.75
,11,Noah,Vonleh,0.52,0.32,0.7,0.11,0.18,0.15,0.2,0.75
,12,Keita,Bates-Diop,0.53,0.28,0.65,0.05,0.08,0.15,0.2,0.75
DEN,ID - 15,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Jamal,Murray,0.51,0.37,0.63,0.23,0.07,0.39,0.2,0.75
,2,Gary,Harris,0.48,0.34,0.61,0.11,0.05,0.25,0.2,0.75
,3,Torrey,Craig,0.56,0.33,0.48,0.1,0.06,0.12,0.2,0.75
,4,Paul,Millsap,0.52,0.35,0.75,0.12,0.14,0.2,0.2,0.75
,5,Nikola,Jokic,0.55,0.34,0.75,0.38,0.28,0.4,0.2,0.75
,6,Monte,Morris,0.52,0.41,0.66,0.23,0.05,0.17,0.2,0.75
,7,Malik,Beasley,0.54,0.41,0.46,0.08,0.06,0.19,0.2,0.75
,8,Will,Barton,0.46,0.35,0.59,0.16,0.09,0.2,0.2,0.75
,9,Jerami,Grant,0.57,0.38,0.66,0.04,0.08,0.15,0.2,0.75
,10,Mason,Plumlee,0.6,0.2,0.97,0.19,0.16,0.16,0.2,0.75
,11,Michael,Porter Jr.,0.48,0.38,0.64,0.14,0.1,0.18,0.2,0.75
,12,Bol,Bol,0.52,0.4,0.83,0.03,0.11,0.16,0.2,0.75
BOS,ID - 16,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Kemba,Walker,0.48,0.36,0.56,0.29,0.07,0.39,0.2,0.75
,2,Marcus,Smart,0.5,0.36,0.4,0.2,0.07,0.16,0.2,0.75
,3,Jayson,Tatum,0.49,0.37,0.7,0.1,0.1,0.26,0.2,0.75
,4,Gordon,Hayward,0.52,0.35,0.47,0.18,0.08,0.19,0.2,0.75
,5,Enes,Kanter,0.58,0.25,0.94,0.1,0.2,0.23,0.2,0.75
,6,Carsen,Edwards,0.43,0.35,0.64,0.12,0.07,0.17,0.2,0.75
,7,Romeo,Langford,0.51,0.25,0.87,0.07,0.14,0.16,0.2,0.75
,8,Jaylen,Brown,0.52,0.37,0.65,0.08,0.09,0.25,0.2,0.75
,9,Grant,Williams,0.5,0.32,0.82,0.09,0.18,0.18,0.2,0.75
,10,Daniel,Theis,0.6,0.37,0.75,0.1,0.15,0.16,0.2,0.75
,11,Robert,Williams III,0.68,0,1,0.04,0.15,0.11,0.2,0.75
,12,Tacko,Fall,0.61,0.05,0.99,0.05,0.17,0.12,0.2,0.75
BKN,ID - 17,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Kyrie,Irving,0.53,0.4,0.64,0.35,0.08,0.46,0.2,0.75
,2,Joe,Harris,0.53,0.46,0.47,0.12,0.07,0.17,0.2,0.75
,3,Caris,LeVert,0.5,0.33,0.68,0.23,0.08,0.23,0.2,0.75
,4,Taurean,Prince,0.47,0.39,0.48,0.11,0.07,0.2,0.2,0.75
,5,Jarrett,Allen,0.62,0.22,0.95,0.08,0.18,0.16,0.2,0.75
,6,Spencer,Dinwiddie,0.5,0.34,0.58,0.27,0.06,0.24,0.2,0.75
,7,Garrett,Temple,0.52,0.33,0.5,0.11,0.06,0.12,0.2,0.75
,8,Wilson,Chandler,0.42,0.36,0.42,0.06,0.1,0.13,0.2,0.75
,9,Rodions,Kurucs,0.53,0.32,0.6,0.06,0.1,0.17,0.2,0.75
,10,DeAndre,Jordan,0.64,0,1,0.15,0.2,0.17,0.2,0.75
,11,Kevin,Durant,0.58,0.37,0.71,0.25,0.11,0.29,0.2,0.75
,12,Jaylen,Hands,0.42,0.36,0.65,0.15,0.06,0.17,0.2,0.75
NYK,ID - 18,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Dennis,Smith Jr.,0.47,0.29,0.72,0.31,0.05,0.31,0.2,0.75
,2,RJ,Barrett,0.49,0.28,0.55,0.12,0.14,0.22,0.2,0.75
,3,Kevin,Knox,0.38,0.34,0.6,0.06,0.09,0.22,0.2,0.75
,4,Julius,Randle,0.56,0.33,0.82,0.16,0.15,0.28,0.2,0.75
,5,Mitchell,Robinson,0.69,0,1,0.04,0.17,0.13,0.2,0.75
,6,Elfrid,Payton,0.47,0.32,0.76,0.33,0.09,0.18,0.2,0.75
,7,Reggie,Bullock,0.52,0.35,0.35,0.06,0.06,0.14,0.2,0.75
,8,Marcus,Morris,0.5,0.37,0.54,0.08,0.1,0.21,0.2,0.75
,9,Taj,Gibson,0.58,0.32,0.93,0.07,0.15,0.17,0.2,0.75
,10,Bobby,Portis,0.47,0.4,0.66,0.09,0.17,0.23,0.2,0.75
,11,Kadeem,Allen,0.47,0.45,0.74,0.27,0.06,0.19,0.2,0.75
,12,Allonzo,Trier,0.46,0.39,0.74,0.13,0.07,0.22,0.2,0.75
PHI,ID - 19,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Ben,Simmons,0.55,0,1,0.34,0.13,0.38,0.2,0.75
,2,Josh,Richardson,0.46,0.35,0.57,0.18,0.06,0.2,0.2,0.75
,3,Tobias,Harris,0.53,0.34,0.67,0.12,0.12,0.22,0.2,0.75
,4,Al,Horford,0.6,0.36,0.73,0.22,0.12,0.19,0.2,0.75
,5,Joel,Embiid,0.54,0.3,0.79,0.19,0.22,0.41,0.2,0.75
,6,Shake,Milton,0.47,0.31,0.5,0.09,0.07,0.15,0.2,0.75
,7,Zhaire,Smith,0.46,0.36,0.5,0.13,0.07,0.17,0.2,0.75
,8,James,Ennis III,0.55,0.33,0.59,0.07,0.13,0.16,0.2,0.75
,9,Mike,Scott,0.39,0.42,0.39,0.09,0.09,0.18,0.2,0.75
,10,Jonah,Bolden,0.66,0.35,0.41,0.08,0.14,0.14,0.2,0.75
,11,Trey,Burke,0.49,0.36,0.62,0.24,0.05,0.23,0.2,0.75
,12,Matisse,Thybulle,0.44,0.33,0.44,0.06,0.1,0.16,0.2,0.75
TOR,ID - 20,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Kyle,Lowry,0.5,0.38,0.39,0.35,0.08,0.3,0.2,0.75
,2,Fred,VanVleet,0.44,0.38,0.51,0.24,0.06,0.26,0.2,0.75
,3,OG,Anunoby,0.58,0.35,0.51,0.05,0.08,0.16,0.2,0.75
,4,Pascal,Siakam,0.61,0.37,0.77,0.15,0.12,0.31,0.2,0.75
,5,Marc,Gasol,0.48,0.43,0.71,0.22,0.14,0.22,0.2,0.75
,6,Norman,Powell,0.54,0.4,0.58,0.12,0.07,0.2,0.2,0.75
,7,Cameron,Payne,0.58,0.35,0.58,0.2,0.06,0.18,0.2,0.75
,8,Stanley,Johnson,0.48,0.32,0.62,0.14,0.09,0.2,0.2,0.75
,9,Rondae,Hollis-Jefferson,0.44,0.25,0.9,0.12,0.13,0.21,0.2,0.75
,10,Serge,Ibaka,0.58,0.31,0.8,0.07,0.17,0.22,0.2,0.75
,11,Patrick,McCaw,0.49,0.33,0.55,0.1,0.07,0.1,0.2,0.75
,12,Chris,Boucher,0.55,0.32,0.53,0.02,0.18,0.22,0.2,0.75
CHI,ID - 21,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Tomas,Satoransky,0.52,0.4,0.7,0.25,0.07,0.14,0.2,0.75
,2,Zach,LaVine,0.51,0.37,0.7,0.22,0.07,0.37,0.2,0.75
,3,Otto,Porter Jr.,0.49,0.47,0.6,0.13,0.09,0.21,0.2,0.75
,4,Lauri,Markkanen,0.49,0.37,0.58,0.07,0.15,0.25,0.2,0.75
,5,Wendell,Carter Jr.,0.51,0.18,0.92,0.11,0.16,0.24,0.2,0.75
,6,Kris,Dunn,0.45,0.35,0.8,0.3,0.08,0.2,0.2,0.75
,7,Denzel,Valentine,0.46,0.37,0.5,0.18,0.11,0.18,0.2,0.75
,8,Chandler,Hutchinson,0.75,0.24,0.77,0.05,0.11,0.12,0.2,0.75
,9,Thaddeus,Young,0.55,0.34,0.81,0.12,0.11,0.17,0.2,0.75
,10,Daniel,Gafford,0.56,0,1,0.06,0.18,0.14,0.2,0.75
,11,Coby,White,0.46,0.3,0.73,0.12,0.11,0.18,0.2,0.75
,12,Luke,Kornet,0.43,0.36,0.33,0.1,0.1,0.18,0.2,0.75
CLE,ID - 22,First,Last,2pt Scoring,3pt Scoring,2pt vs 3pt,assist,rebound,usage,0.2,0.75
,1,Darius,Garland,0.48,0.38,0.44,0.2,0.06,0.26,0.2,0.75
,2,Collin,Sexton,0.45,0.41,0.75,0.15,0.05,0.33,0.2,0.75
,3,Cedi,Osman,0.5,0.35,0.55,0.12,0.08,0.18,0.2,0.75
,4,Kevin,Love,0.47,0.38,0.53,0.13,0.22,0.26,0.2,0.75
,5,Tristan,Thompson,0.53,0,1,0.11,0.2,0.18,0.2,0.75
,6,Jordan,Clarkson,0.51,0.34,0.62,0.16,0.07,0.28,0.2,0.75
,7,Brandon,Knight,0.45,0.36,0.52,0.15,0.08,0.19,0.2,0.75
